Bin_Center,Count
-4.809292242486133517e+00,1.109600000000000000e+04
-4.612994599935678508e+00,1.910000000000000000e+03
-4.416696957385223499e+00,3.278000000000000000e+03
-4.220399314834770266e+00,5.160000000000000000e+03
-4.024101672284315256e+00,5.806000000000000000e+03
-3.827804029733861135e+00,7.697000000000000000e+03
-3.631506387183406570e+00,8.839000000000000000e+03
-3.435208744632952005e+00,9.692000000000000000e+03
-3.238911102082497884e+00,1.034600000000000000e+04
-3.042613459532043318e+00,1.067500000000000000e+04
-2.846315816981588753e+00,1.005400000000000000e+04
-2.650018174431134632e+00,1.110800000000000000e+04
-2.453720531880680067e+00,1.078200000000000000e+04
-2.257422889330225502e+00,1.152600000000000000e+04
-2.061125246779771381e+00,1.193100000000000000e+04
-1.864827604229317037e+00,1.199700000000000000e+04
-1.668529961678862472e+00,1.162000000000000000e+04
-1.472232319128408129e+00,1.172500000000000000e+04
-1.275934676577953786e+00,1.146800000000000000e+04
-1.079637034027499443e+00,1.161000000000000000e+04
-8.833393914770448774e-01,1.151800000000000000e+04
-6.870417489265903122e-01,1.200300000000000000e+04
-4.907441063761361910e-01,1.131000000000000000e+04
-2.944464638256816258e-01,1.216700000000000000e+04
-9.814882127522706057e-02,1.201200000000000000e+04
9.814882127522706057e-02,4.810700000000000000e+04
2.944464638256811817e-01,1.269400000000000000e+04
4.907441063761357469e-01,1.160400000000000000e+04
6.870417489265903122e-01,1.208600000000000000e+04
8.833393914770444333e-01,1.192400000000000000e+04
1.079637034027498999e+00,1.174600000000000000e+04
1.275934676577953564e+00,1.345300000000000000e+04
1.472232319128407685e+00,1.152300000000000000e+04
1.668529961678862250e+00,1.294700000000000000e+04
1.864827604229316815e+00,1.231200000000000000e+04
2.061125246779770936e+00,1.261400000000000000e+04
2.257422889330225502e+00,1.257100000000000000e+04
2.453720531880680067e+00,1.105500000000000000e+04
2.650018174431134188e+00,1.106200000000000000e+04
2.846315816981588309e+00,1.160600000000000000e+04
3.042613459532042874e+00,1.349000000000000000e+04
3.238911102082497884e+00,1.155700000000000000e+04
3.435208744632952005e+00,1.058700000000000000e+04
3.631506387183406126e+00,8.758000000000000000e+03
3.827804029733861135e+00,6.807000000000000000e+03
4.024101672284315256e+00,6.187000000000000000e+03
4.220399314834769378e+00,4.360000000000000000e+03
4.416696957385224387e+00,2.994000000000000000e+03
4.612994599935678508e+00,1.438000000000000000e+03
4.809292242486132629e+00,1.078800000000000000e+04
