Frequency,Power
0.000000000000000000e+00,1.993221193234554812e+04
8.862629246676513584e-02,3.090875327683567775e+03
1.772525849335302717e-01,1.855131754796685527e+03
2.658788774002954214e-01,2.593709989844579013e+03
3.545051698670605433e-01,1.307211541606692663e+03
4.431314623338256653e-01,1.323670840949058174e+03
5.317577548005908428e-01,9.799164568689186581e+02
6.203840472673559647e-01,1.756012596079929438e+02
7.090103397341210867e-01,4.415543305951813409e+02
7.976366322008862086e-01,3.084252768289675259e+02
8.862629246676513306e-01,6.763408259425377764e+02
9.748892171344164526e-01,7.117977720178969321e+02
1.063515509601181686e+00,7.572942352737163674e+02
1.152141802067946807e+00,3.290507986558773155e+02
1.240768094534711929e+00,3.261187730661007436e+02
1.329394387001477051e+00,2.143981333791180361e+02
1.418020679468242173e+00,7.416023221580962854e+02
1.506646971935007295e+00,4.814934730256016451e+02
1.595273264401772417e+00,6.021033266880699557e+02
1.683899556868537539e+00,9.242295268655002474e+02
1.772525849335302661e+00,2.556108819717902634e+02
1.861152141802067783e+00,1.185631213716601223e+03
1.949778434268832905e+00,6.314679689838558261e+02
2.038404726735598249e+00,6.421659564630767818e+02
2.127031019202363371e+00,1.963237936706900086e+02
2.215657311669128493e+00,2.655052457579344036e+02
2.304283604135893615e+00,6.196549597923685724e+02
2.392909896602658737e+00,3.917572876077108504e+02
2.481536189069423859e+00,9.858577410493367097e+02
2.570162481536188981e+00,1.136615638751342431e+03
2.658788774002954103e+00,2.133276901658427960e+02
2.747415066469719225e+00,5.174495005841098418e+02
2.836041358936484347e+00,1.665449453307226349e+03
2.924667651403249469e+00,4.926120145141190960e+02
3.013293943870014591e+00,3.234744794151335441e+02
3.101920236336779713e+00,1.997111120583218735e+02
3.190546528803544835e+00,4.649017264487948751e+02
3.279172821270309957e+00,5.001032751112391566e+02
3.367799113737075078e+00,7.571144741114653698e+01
3.456425406203840200e+00,3.470530004454535060e+02
3.545051698670605322e+00,3.594444299106016274e+02
3.633677991137370444e+00,5.221172484102423823e+02
3.722304283604135566e+00,6.960282376084231828e+02
3.810930576070900688e+00,2.085747253316362730e+03
3.899556868537665810e+00,9.555344357614175124e+02
3.988183161004430932e+00,6.266180209986641785e+02
4.076809453471196498e+00,3.854327867703276524e+02
4.165435745937961620e+00,4.889905270880418016e+02
4.254062038404726742e+00,3.036859748363031031e+02
4.342688330871491864e+00,5.628821629245601343e+02
4.431314623338256986e+00,6.102996229538425723e+02
4.519940915805022108e+00,5.575504080705110255e+02
4.608567208271787230e+00,7.093918430661383354e+02
4.697193500738552352e+00,2.044786485848369239e+03
4.785819793205317474e+00,1.548881893500193200e+03
4.874446085672082596e+00,1.017069974294733015e+03
4.963072378138847718e+00,8.764141565470378055e+02
5.051698670605612840e+00,6.372616933882068224e+02
5.140324963072377962e+00,4.587596392793922746e+02
5.228951255539143084e+00,5.513400519333755483e+02
5.317577548005908206e+00,1.960585809392051999e+02
5.406203840472673328e+00,2.045567610772789919e+02
5.494830132939438450e+00,2.941055144362123315e+02
5.583456425406203572e+00,3.685856010920970220e+02
5.672082717872968693e+00,3.244699172800331780e+03
5.760709010339733815e+00,1.336704650158004597e+03
5.849335302806498937e+00,9.075293305626225902e+02
5.937961595273264059e+00,3.697068510330347522e+02
6.026587887740029181e+00,1.994750134129519097e+02
6.115214180206794303e+00,4.559968937482607885e+02
6.203840472673559425e+00,2.411633869857653565e+02
6.292466765140324547e+00,4.998860291025071660e+02
6.381093057607089669e+00,1.588455626058232610e+03
6.469719350073854791e+00,5.978111231218555304e+02
6.558345642540619913e+00,2.595251335773382380e+02
6.646971935007385035e+00,3.590110152098196522e+03
6.735598227474150157e+00,4.143481580337058858e+02
6.824224519940915279e+00,4.220984735225650297e+02
6.912850812407680401e+00,3.783149819475937079e+02
7.001477104874445523e+00,8.004669948891108788e+02
7.090103397341210645e+00,4.348642004195477284e+02
7.178729689807975767e+00,1.389112555892983778e+02
7.267355982274740889e+00,7.300585582234607500e+02
7.355982274741506011e+00,8.661952366073336407e+02
7.444608567208271133e+00,1.116150229148511244e+03
7.533234859675036255e+00,1.687997023611676241e+03
7.621861152141801377e+00,3.196504549820619104e+03
7.710487444608566499e+00,1.044586977548069626e+03
7.799113737075331620e+00,6.103609440208863361e+02
7.887740029542096742e+00,1.485029077570561924e+02
7.976366322008861864e+00,5.364530791014616398e+02
8.064992614475627875e+00,6.933797644217313518e+02
8.153618906942392996e+00,1.632320489216899944e+02
8.242245199409158118e+00,4.650628007483588249e+02
8.330871491875923240e+00,9.173456752356308925e+02
8.419497784342688362e+00,9.431060315614880665e+02
8.508124076809453484e+00,3.452761980576479345e+03
8.596750369276218606e+00,2.953049839479283037e+03
8.685376661742983728e+00,6.455983770939595843e+02
