symbol_index,cur_rms,est_rms,gain_sym
0.000000000000000000e+00,2.613776993031725060e-01,2.768620835033298588e-01,3.611906648054871383e+00
1.000000000000000000e+00,2.608347193921419227e-01,2.720538742699734613e-01,3.675742544315494964e+00
2.000000000000000000e+00,2.834982481605401450e-01,2.754871864371434276e-01,3.629932894276972632e+00
3.000000000000000000e+00,2.834982481605401450e-01,2.778905049541623984e-01,3.598539648430767457e+00
4.000000000000000000e+00,2.834982481605401450e-01,2.795728279160756835e-01,3.576885520148573416e+00
5.000000000000000000e+00,2.834982481605401450e-01,2.807504539894150053e-01,3.561882040759594137e+00
6.000000000000000000e+00,2.603294002527958839e-01,2.746241378684292633e-01,3.641340516393696713e+00
7.000000000000000000e+00,2.834982481605401450e-01,2.772863709560625112e-01,3.606379918897836045e+00
8.000000000000000000e+00,2.613776993031725060e-01,2.725137694601955096e-01,3.669539348344980301e+00
9.000000000000000000e+00,2.608347193921419227e-01,2.690100544397794335e-01,3.717333175826927683e+00
1.000000000000000000e+01,2.834982481605401450e-01,2.733565125560076248e-01,3.658226360329027926e+00
1.100000000000000000e+01,2.834982481605401450e-01,2.763990332373673642e-01,3.617957661744840347e+00
1.200000000000000000e+01,2.834982481605401450e-01,2.785287977143191540e-01,3.590293026093761330e+00
1.300000000000000000e+01,2.834982481605401450e-01,2.800196328481854291e-01,3.571178170004090102e+00
1.400000000000000000e+01,2.834982481605401450e-01,2.810632174418918328e-01,3.557918425262259987e+00
1.500000000000000000e+01,2.603294002527958839e-01,2.748430722851630259e-01,3.638439898395734229e+00
1.600000000000000000e+01,2.834982481605401450e-01,2.774396250477761394e-01,3.604387800869455205e+00
1.700000000000000000e+01,2.613776993031725060e-01,2.726210473243950161e-01,3.668095364662318669e+00
1.800000000000000000e+01,2.608347193921419227e-01,2.690851489447190770e-01,3.716295767052681942e+00
1.900000000000000000e+01,2.834982481605401450e-01,2.734090787094654029e-01,3.657523022718045969e+00
2.000000000000000000e+01,2.834982481605401450e-01,2.764358295447877922e-01,3.617476076262325702e+00
2.100000000000000000e+01,2.834982481605401450e-01,2.785545551295134925e-01,3.589961038458163500e+00
2.200000000000000000e+01,2.834982481605401450e-01,2.800376630388214938e-01,3.570948240135007890e+00
2.300000000000000000e+01,2.834982481605401450e-01,2.810758385753370781e-01,3.557758664240252333e+00
2.400000000000000000e+01,2.603294002527958839e-01,2.748519070785747087e-01,3.638322944996411401e+00
2.500000000000000000e+01,2.834982481605401450e-01,2.774458094031643229e-01,3.604307457918284108e+00
2.600000000000000000e+01,2.657939593643104947e-01,2.739502543915081634e-01,3.650297760157866556e+00
2.700000000000000000e+01,2.600223853284144848e-01,2.697718936725800321e-01,3.706835380018097315e+00
2.800000000000000000e+01,2.601645199557173771e-01,2.668896815575212411e-01,3.746866473683717835e+00
2.900000000000000000e+01,2.616252552695081390e-01,2.653103536711172716e-01,3.769170656790933549e+00
3.000000000000000000e+01,2.651764455747294691e-01,2.652701812422009198e-01,3.769741458754329866e+00
3.100000000000000000e+01,2.669161583765788937e-01,2.657639743825143119e-01,3.762737226982838301e+00
3.200000000000000000e+01,2.834982481605401450e-01,2.710842565159220507e-01,3.688889988863168323e+00
3.300000000000000000e+01,2.588162235082268614e-01,2.674038466136134939e-01,3.739661985659297194e+00
3.400000000000000000e+01,2.614664423621613776e-01,2.656226253381778202e-01,3.764739538760482507e+00
3.500000000000000000e+01,2.569674953923201666e-01,2.630260863544204852e-01,3.801904266835827162e+00
3.600000000000000000e+01,2.604153502759984362e-01,2.622428655308938206e-01,3.813259125183689147e+00
3.700000000000000000e+01,2.602864753887989546e-01,2.616559484882653441e-01,3.821812596952473662e+00
3.800000000000000000e+01,2.603172528515139139e-01,2.612543397972398873e-01,3.827687611911451349e+00
3.900000000000000000e+01,2.618455611095492075e-01,2.614317061909327000e-01,3.825090745763121358e+00
4.000000000000000000e+01,2.667552612611968077e-01,2.630287727120119157e-01,3.801865437340925080e+00
4.100000000000000000e+01,2.603558945308173667e-01,2.622269092576535732e-01,3.813491158595933239e+00
4.200000000000000000e+01,2.578917806708767024e-01,2.609263706816205008e-01,3.832498790320388871e+00
4.300000000000000000e+01,2.834982481605401450e-01,2.676979339252963941e-01,3.735553671770434292e+00
4.400000000000000000e+01,2.628770592755260149e-01,2.662516715303652748e-01,3.755844965224763854e+00
