Frequency_Hz,Snapshot_0_Amplitude_dB,Snapshot_0_Phase_rad
9.375000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.812500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.687500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.625000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.562500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.437500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.375000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.031250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.218750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.312500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.406250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.593750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.687500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.781250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.968750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.062500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.156250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.343750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.437500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.531250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.718750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.812500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.906250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.093750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.187500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.281250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.375000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.468750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.562500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.656250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.843750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.937500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.031250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.125000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.218750000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.312500000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.406250000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00
