I,Q
1.089381477901346512e-01,4.556798831343616268e-02
-1.257026408277504836e-01,4.031240471444431234e-02
-2.337193108020740318e-01,2.125491441226265779e-02
1.830031819937428250e-01,-1.057237772233892738e-02
-2.752811581400569918e-01,3.179965874618248534e-02
-3.058321511271523963e-01,2.720524548093278261e-02
1.926302199401904169e-01,7.525746370541766365e-03
-4.890680800042535026e-01,-3.154962842125527689e-02
-4.016913999349578934e-01,8.802427412580089705e-02
-4.748638959512112567e-01,-9.867535130442936508e-02
-4.581557991408936048e-01,-1.464529103158303258e-02
-3.793014965214668299e-01,7.590846191154952682e-02
-3.390835013561129263e-01,-3.957179130034692988e-02
-5.034664594638805779e-01,6.441834566545987656e-03
5.228939496853597380e-01,-2.948087857079577101e-01
-8.332668194513415116e-01,1.097333212705190186e-01
-5.439144781192506439e-01,3.855967665233703962e-02
2.933438576476311566e-01,-1.487159026881077484e-01
-3.194970082574013492e-01,6.395650910031237812e-02
-3.446472198206466664e-01,4.771405992629093595e-02
-2.833069472800524569e-01,1.842203303610176479e-02
-2.109940597667634421e-01,-4.072692330080356776e-02
-2.030038295687638383e-01,7.214979662340058331e-02
-9.610886970015061759e-02,3.365971542071790473e-02
-1.946022376260881648e-01,2.139559449749982994e-02
-1.679121707408993136e-01,-6.887020693856388265e-02
2.626401312420975631e-01,-4.073055526377314384e-02
2.134632412792729084e-01,-6.254068569833323710e-02
-2.794362905513458895e-01,-9.439591052545451277e-03
-3.815649073220373499e-01,-3.144445161013322693e-02
-3.889462373413273832e-01,-8.608985482981777737e-02
-3.395436418165856951e-01,-1.308360145779821453e-02
-3.952149002996875327e-01,-6.127656334736514276e-02
-4.030124936120511592e-01,1.494652887626524845e-02
-3.408536276782859753e-01,3.783600006569949603e-02
-5.241692152955229611e-01,-1.184757977226192777e-01
5.810665167941654330e-01,4.865059570803732802e-02
-7.918474803237063320e-01,4.577552093354957108e-02
4.341748399450414686e-01,-6.817497148868148504e-02
-2.659688052032380123e-01,2.845327372782492648e-02
-3.441068485953726053e-01,1.101989417881519932e-02
-4.235214368288511277e-01,5.611752391334300788e-02
-2.386234505137994899e-01,-9.061371225006797925e-02
-7.604479597518180867e-02,-2.697713079917521059e-02
-2.554671611868737369e-01,1.249232279072445412e-01
-1.251308672437993763e-01,-1.145115877744126189e-02
-1.787655592666301807e-01,1.103068605191961579e-02
-1.931355724684521991e-01,3.217376340973653048e-02
2.627032437029753753e-01,-1.267362957226847442e-01
-3.414286238781372718e-01,8.210150905900570964e-03
-2.469244677681255162e-01,-3.681457240981933499e-02
-3.445036300312064870e-01,7.839973131977079346e-02
-4.751548445524818032e-01,-9.704860873385748321e-02
-3.767777086829342537e-01,3.165194823761183218e-02
-4.260663022373805120e-01,2.466710140203155072e-02
-5.137698379994458664e-01,-5.729341670864347008e-02
-2.437783182040421937e-01,5.795093322172002043e-03
-5.496179468807190771e-01,-3.298948719511531763e-02
-5.303829901491945442e-01,-1.196445639825369500e-01
6.733459203282037286e-01,8.799410997372220100e-02
-6.377557152824017139e-01,-3.415992811122812306e-02
