I,Q
3.535533905932738974e-01,-3.535533905932737864e-01
3.535533905932738974e-01,3.535533905932737864e-01
3.043807145043604390e-01,3.966766701456175825e-01
1.913417161825450019e-01,4.619397662556434248e-01
5.000000000000001110e-01,1.792020352414615583e-17
2.500000000000000555e-01,-4.330127018922192983e-01
1.913417161825450019e-01,4.619397662556434803e-01
-4.619397662556435358e-01,-1.913417161825448076e-01
-1.294095225512606195e-01,-4.829629131445342116e-01
3.535533905932737309e-01,-3.535533905932739529e-01
-1.913417161825449742e-01,4.619397662556433692e-01
-6.526309611002523159e-02,4.957224306869053576e-01
-4.754786772517438252e-16,5.000000000000001110e-01
2.501113448067470642e-16,-5.000000000000001110e-01
4.957224306869053576e-01,6.526309611002559241e-02
-1.913417161825437529e-01,4.619397662556439244e-01
-3.535533905932745635e-01,-3.535533905932731202e-01
-1.294095225512598701e-01,-4.829629131445343782e-01
4.619397662556435358e-01,1.913417161825447799e-01
-1.913417161825456680e-01,-4.619397662556432027e-01
4.330127018922190207e-01,2.500000000000008327e-01
-5.000000000000001110e-01,-1.220739443493200230e-15
-4.619397662556428141e-01,1.913417161825463897e-01
3.043807145043608275e-01,3.966766701456174160e-01
3.535533905932731202e-01,-3.535533905932745635e-01
-3.535533905932743970e-01,3.535533905932732868e-01
3.966766701456183597e-01,-3.043807145043595508e-01
-4.619397662556434803e-01,1.913417161825448354e-01
-5.000000000000000000e-01,-1.243732915196130804e-15
-4.330127018922189652e-01,-2.500000000000008327e-01
1.913417161825488877e-01,4.619397662556418704e-01
1.913417161825445856e-01,-4.619397662556436468e-01
-4.829629131445338786e-01,1.294095225512616465e-01
3.535533905932713994e-01,3.535533905932762844e-01
-1.913417161825479162e-01,4.619397662556421480e-01
-4.957224306869055797e-01,-6.526309611002382993e-02
5.000000000000001110e-01,2.321971411926298031e-15
5.000000000000001110e-01,1.125975980794847907e-15
6.526309611002119315e-02,-4.957224306869059682e-01
-4.619397662556466999e-01,-1.913417161825372304e-01
3.535533905932718990e-01,-3.535533905932756182e-01
4.829629131445337120e-01,-1.294095225512623404e-01
4.619397662556405937e-01,1.913417161825519686e-01
