symbol_index,cur_rms,est_rms,gain_sym
0.000000000000000000e+00,1.413103711610139979e-01,8.797834519625419292e-01,5.683216692524107883e-01
1.000000000000000000e+00,1.578657968121698341e-01,7.787149802414898847e-01,6.420834486129229912e-01
2.000000000000000000e+00,2.047776697960946302e-01,6.983637567791345369e-01,7.159592621272450330e-01
3.000000000000000000e+00,1.982310365314866318e-01,6.283451759444638185e-01,7.957409703169144866e-01
4.000000000000000000e+00,2.556714406721843913e-01,5.761708530063447409e-01,8.677981494397011275e-01
5.000000000000000000e+00,2.842197508287021557e-01,5.352976987014747001e-01,9.340596853169743641e-01
6.000000000000000000e+00,3.038328199670549123e-01,5.028926156786559520e-01,9.942480450329294062e-01
7.000000000000000000e+00,3.020831068580562273e-01,4.747792844437719872e-01,1.053120926676013980e+00
8.000000000000000000e+00,3.300575117901255462e-01,4.545182362722615110e-01,1.100065872165565617e+00
9.000000000000000000e+00,3.396560139768518560e-01,4.384375251509041727e-01,1.140413334437801351e+00
1.000000000000000000e+01,3.381511074773779213e-01,4.243974266766104564e-01,1.178140979589394233e+00
1.100000000000000000e+01,3.470646738391545139e-01,4.135708412793666078e-01,1.208982718542893187e+00
1.200000000000000000e+01,3.037881211389068525e-01,3.982012604597022221e-01,1.255646452305993588e+00
1.300000000000000000e+01,2.655091165648312268e-01,3.796243603144202616e-01,1.317091452155177089e+00
1.400000000000000000e+01,3.387219395396626753e-01,3.738980214059541840e-01,1.337263027281795802e+00
1.500000000000000000e+01,3.309763354092816745e-01,3.678889853664200071e-01,1.359105653848256656e+00
1.600000000000000000e+01,3.071057313935228184e-01,3.593793298102143652e-01,1.391287585360144075e+00
1.700000000000000000e+01,3.053940490045521927e-01,3.518213904974216710e-01,1.421175668975318551e+00
1.800000000000000000e+01,3.209849786074004951e-01,3.475042928328186953e-01,1.438831146297653518e+00
1.900000000000000000e+01,2.741189736036357960e-01,3.372303481407331049e-01,1.482666084937704909e+00
2.000000000000000000e+01,3.443374194062533977e-01,3.382253381179059493e-01,1.478304383646440900e+00
2.100000000000000000e+01,3.494501285067881380e-01,3.397968087723494679e-01,1.471467615621370850e+00
2.200000000000000000e+01,3.533325370253060926e-01,3.416918107277633898e-01,1.463306945914386370e+00
2.300000000000000000e+01,3.308482278603394611e-01,3.401737091263240531e-01,1.469837281911531290e+00
2.400000000000000000e+01,3.464070279931294460e-01,3.410463737676768248e-01,1.466076283047077711e+00
2.500000000000000000e+01,3.492389425113598400e-01,3.421933333917924758e-01,1.461162305659320371e+00
2.600000000000000000e+01,3.373858037057178016e-01,3.415202792357420192e-01,1.464041904389706161e+00
2.700000000000000000e+01,3.382505401427383096e-01,3.410625157627215076e-01,1.466006895779341290e+00
2.800000000000000000e+01,2.967387102067680082e-01,3.348571829848879799e-01,1.493173882498333160e+00
2.900000000000000000e+01,2.651937377797556339e-01,3.251043006561694648e-01,1.537967965944567306e+00
3.000000000000000000e+01,3.382534906322905432e-01,3.269451872528263969e-01,1.529308335141053687e+00
3.100000000000000000e+01,3.262016578340857231e-01,3.268410931342027315e-01,1.529795397528845191e+00
3.200000000000000000e+01,2.986450598244213550e-01,3.228936484708333499e-01,1.548497477011117063e+00
3.300000000000000000e+01,2.972829617255609569e-01,3.193081523264952315e-01,1.565885481961468484e+00
3.400000000000000000e+01,3.170037213270049392e-01,3.189855319865665950e-01,1.567469210550453518e+00
3.500000000000000000e+01,2.786814939221347043e-01,3.133429666575461292e-01,1.595695621744885440e+00
3.600000000000000000e+01,3.402854819753586280e-01,3.171149188020398468e-01,1.576715475540672484e+00
3.700000000000000000e+01,3.403992864358936221e-01,3.203747302707793954e-01,1.560672402525012048e+00
3.800000000000000000e+01,3.444649069572279232e-01,3.237473550068821759e-01,1.544414162053528106e+00
3.900000000000000000e+01,3.264826060023872656e-01,3.241302901462528863e-01,1.542589554880513747e+00
4.000000000000000000e+01,3.436010922324719830e-01,3.268562024383235842e-01,1.529724680976026319e+00
4.100000000000000000e+01,3.419169660710619230e-01,3.289647093469069694e-01,1.519919875273700649e+00
4.200000000000000000e+01,3.259834699059278029e-01,3.285473358251699283e-01,1.521850721279521368e+00
4.300000000000000000e+01,3.313743450539353153e-01,3.289431171171970369e-01,1.520019644678743065e+00
4.400000000000000000e+01,2.943273581446310128e-01,3.240969108610378124e-01,1.542748428769763036e+00
4.500000000000000000e+01,2.642365449688756085e-01,3.157164596361351494e-01,1.583699502320064623e+00
4.600000000000000000e+01,3.339928313806144744e-01,3.182751516803622449e-01,1.570967753405206446e+00
4.700000000000000000e+01,3.171848379515156968e-01,3.181225077583237359e-01,1.571721546907481892e+00
4.800000000000000000e+01,2.969788491162220212e-01,3.151623955484294526e-01,1.586483689241940276e+00
4.900000000000000000e+01,3.022359571179110693e-01,3.133526941681568645e-01,1.595646086041567990e+00
5.000000000000000000e+01,2.815068151595894186e-01,3.088942711069574409e-01,1.618676831422588780e+00
5.100000000000000000e+01,2.722956402375733553e-01,3.037704627852436667e-01,1.645979649948667189e+00
5.200000000000000000e+01,2.697164093047829669e-01,2.990028952979791321e-01,1.672224610071791906e+00
5.300000000000000000e+01,2.768889831046643657e-01,2.959069475909150704e-01,1.689720380243451281e+00
5.400000000000000000e+01,3.097670102055414820e-01,2.978473563569628002e-01,1.678712230706396413e+00
5.500000000000000000e+01,2.634712077273138053e-01,2.930346955488119520e-01,1.706282592454015479e+00
5.600000000000000000e+01,3.240576882174721618e-01,2.973779145224243470e-01,1.681362251810050168e+00
5.700000000000000000e+01,3.090351159139379522e-01,2.990099227172362539e-01,1.672185308956563921e+00
5.800000000000000000e+01,3.465405911857467047e-01,3.056642163028276959e-01,1.635781924517588637e+00
5.900000000000000000e+01,3.400138940251518638e-01,3.104731711839531227e-01,1.610445108971279238e+00
6.000000000000000000e+01,3.431256593197783422e-01,3.150445195229686357e-01,1.587077282782400456e+00
6.100000000000000000e+01,3.377928128699393961e-01,3.182292805915445388e-01,1.571194200202346680e+00
6.200000000000000000e+01,3.348628937672467609e-01,3.205579864361428610e-01,1.559780199391797462e+00
6.300000000000000000e+01,3.329225788741229097e-01,3.222890293774600678e-01,1.551402481697282676e+00
6.400000000000000000e+01,3.349689023533284904e-01,3.240642115940816081e-01,1.542904097741879532e+00
6.500000000000000000e+01,3.304688642347735628e-01,3.249608629637784629e-01,1.538646824850819606e+00
6.600000000000000000e+01,3.319117157570077303e-01,3.259339823548305648e-01,1.534052989466041961e+00
6.700000000000000000e+01,3.319247901522648370e-01,3.267726954464713618e-01,1.530115603192755191e+00
6.800000000000000000e+01,3.380818290039284135e-01,3.283559741445153946e-01,1.522737636501600544e+00
6.900000000000000000e+01,3.346595125684749261e-01,3.292384695238697034e-01,1.518656069331989489e+00
7.000000000000000000e+01,3.299454861262386407e-01,3.293374518482013458e-01,1.518199637466256524e+00
7.100000000000000000e+01,3.297233748769816675e-01,3.293914810722305964e-01,1.517950611146368756e+00
7.200000000000000000e+01,3.348364385794767584e-01,3.301537751232450635e-01,1.514445805786567290e+00
7.300000000000000000e+01,3.339027509602591204e-01,3.306786317404270537e-01,1.512042061406874360e+00
7.400000000000000000e+01,3.350034571939731753e-01,3.312841073039234918e-01,1.509278558724505226e+00
7.500000000000000000e+01,1.413103711610139979e-01,3.046877842439161266e-01,1.641024110109146283e+00
7.600000000000000000e+01,1.578657968121698341e-01,2.841327060034716245e-01,1.759741097858304348e+00
7.700000000000000000e+01,2.047776697960946302e-01,2.730230009344388753e-01,1.831347535880558208e+00
