symbol_index,cur_rms,est_rms,gain_sym
0.000000000000000000e+00,4.274152739829208403e-01,9.198381383576088588e-01,5.435738953950756125e-01
1.000000000000000000e+00,4.314220631382805204e-01,8.514598878269028503e-01,5.872267233587488144e-01
2.000000000000000000e+00,4.340651737182663061e-01,7.930246278516936975e-01,6.304974428782894602e-01
3.000000000000000000e+00,4.196030322588645278e-01,7.407456044686976382e-01,6.749955679570002198e-01
4.000000000000000000e+00,4.572618775523154544e-01,7.010578827004041447e-01,7.132078710448993553e-01
5.000000000000000000e+00,4.513650390981263083e-01,6.661008845960851854e-01,7.506370454727641084e-01
6.000000000000000000e+00,4.638566667034171309e-01,6.377866940911116611e-01,7.839611654371893001e-01
7.000000000000000000e+00,4.690571808138153664e-01,6.141645622322901010e-01,8.141140514240373660e-01
8.000000000000000000e+00,4.679838911395505230e-01,5.936992682793065246e-01,8.421772212203139096e-01
9.000000000000000000e+00,4.688869160931747326e-01,5.762255389732480193e-01,8.677157921374483163e-01
1.000000000000000000e+01,4.667913959307464777e-01,5.609047589472977435e-01,8.914169331321000200e-01
1.100000000000000000e+01,4.561263956815364562e-01,5.462357880900912122e-01,9.153556227947746704e-01
1.200000000000000000e+01,4.449387480082857560e-01,5.320542024786384383e-01,9.397538778393064174e-01
1.300000000000000000e+01,4.378089626502305598e-01,5.188598689026613364e-01,9.636513246966890156e-01
1.400000000000000000e+01,4.759253673537304219e-01,5.128490386858109984e-01,9.749457682152685711e-01
1.500000000000000000e+01,4.806519648801031996e-01,5.083414483530118710e-01,9.835908553590553272e-01
1.600000000000000000e+01,4.374942436617997865e-01,4.984228396962421259e-01,1.003164301829986504e+00
1.700000000000000000e+01,4.408977155430073291e-01,4.903693223147892466e-01,1.019639641484400228e+00
1.800000000000000000e+01,4.316318629691452413e-01,4.821460780063990814e-01,1.037030109354874829e+00
1.900000000000000000e+01,4.215052848038604028e-01,4.736563669580436398e-01,1.055617605672953818e+00
2.000000000000000000e+01,4.670555322815820865e-01,4.727322501033390245e-01,1.057681171298764378e+00
2.100000000000000000e+01,4.622488362120799055e-01,4.712645721585627667e-01,1.060975149712227505e+00
2.200000000000000000e+01,4.519078987012686843e-01,4.685546378745416018e-01,1.067111409393151966e+00
2.300000000000000000e+01,4.660106243814506333e-01,4.681984759855088440e-01,1.067923168582623594e+00
2.400000000000000000e+01,4.618676290660648776e-01,4.673121574167867220e-01,1.069948624413936678e+00
2.500000000000000000e+01,4.537370714570121422e-01,4.654116453824183042e-01,1.074317767852932093e+00
2.600000000000000000e+01,4.576165336900628877e-01,4.643203297454885359e-01,1.076842791428212598e+00
2.700000000000000000e+01,4.520734067643489840e-01,4.626057605281289620e-01,1.080833925261069695e+00
2.800000000000000000e+01,4.262844819860044376e-01,4.575207815322315241e-01,1.092846533277693100e+00
2.900000000000000000e+01,3.974842300360215130e-01,4.491156643227621204e-01,1.113298955524003375e+00
3.000000000000000000e+01,4.694431514160049002e-01,4.519615125158161217e-01,1.106288889991496438e+00
3.100000000000000000e+01,4.567560579260104281e-01,4.526327488732433402e-01,1.104648307584172429e+00
3.200000000000000000e+01,4.329136076349183737e-01,4.498720690998778693e-01,1.111427079703837029e+00
3.300000000000000000e+01,4.285668182440333096e-01,4.468893339800596443e-01,1.118845230757532949e+00
3.400000000000000000e+01,4.281152725703762374e-01,4.442609653827039318e-01,1.125464623184438961e+00
3.500000000000000000e+01,4.204540660592309131e-01,4.409279994774177314e-01,1.133971987700018280e+00
3.600000000000000000e+01,4.578765271599942732e-01,4.433007933529784506e-01,1.127902335157507263e+00
3.700000000000000000e+01,4.643940619510452117e-01,4.462538509567077760e-01,1.120438510341295046e+00
